Time,	1.1_Topic 1.1,	1.1_RawVal,	1.1_Scale_Factor,	1.1_ScaledVal,	1.2Topic 1.2,	1.2_RawVal,	1.2_Scale_Factor,	1.2_ScaledVal,	2.1_Topic 2.1,	2.1_RawVal,	2.1_Scale_Factor,	2.1_ScaledVal,	2.2_Topic 2.2,	2.2_RawVal,	2.2_Scale_Factor,	2.2_ScaledVal,
1652372777825,	Topic 1.1,	3014705,	2,	6029410.0,	Topic 1.2,	3211312,	1,	3211312.0,	Topic 2.1,	3014705,	0.5,	1507352.5,	Topic 2.2,	3211312,	1.5,	4816968.0,	
1652372777926,	Topic 1.1,	3014698,	2,	6029396.0,	Topic 1.2,	3080237,	1,	3080237.0,	Topic 2.1,	3014698,	0.5,	1507349.0,	Topic 2.2,	3080237,	1.5,	4620355.5,	
1652372778028,	Topic 1.1,	3014700,	2,	6029400.0,	Topic 1.2,	3080234,	1,	3080234.0,	Topic 2.1,	3014700,	0.5,	1507350.0,	Topic 2.2,	3080234,	1.5,	4620351.0,	
1652372778130,	Topic 1.1,	2818090,	2,	5636180.0,	Topic 1.2,	3014702,	1,	3014702.0,	Topic 2.1,	2818090,	0.5,	1409045.0,	Topic 2.2,	3014702,	1.5,	4522053.0,	
1652372778230,	Topic 1.1,	2949164,	2,	5898328.0,	Topic 1.2,	3080233,	1,	3080233.0,	Topic 2.1,	2949164,	0.5,	1474582.0,	Topic 2.2,	3080233,	1.5,	4620349.5,	
1652372778331,	Topic 1.1,	2818093,	2,	5636186.0,	Topic 1.2,	2752553,	1,	2752553.0,	Topic 2.1,	2818093,	0.5,	1409046.5,	Topic 2.2,	2752553,	1.5,	4128829.5,	
1652372778432,	Topic 1.1,	3211310,	2,	6422620.0,	Topic 1.2,	2883629,	1,	2883629.0,	Topic 2.1,	3211310,	0.5,	1605655.0,	Topic 2.2,	2883629,	1.5,	4325443.5,	
1652372778533,	Topic 1.1,	2687021,	2,	5374042.0,	Topic 1.2,	2949162,	1,	2949162.0,	Topic 2.1,	2687021,	0.5,	1343510.5,	Topic 2.2,	2949162,	1.5,	4423743.0,	
1652372778634,	Topic 1.1,	3145773,	2,	6291546.0,	Topic 1.2,	2883625,	1,	2883625.0,	Topic 2.1,	3145773,	0.5,	1572886.5,	Topic 2.2,	2883625,	1.5,	4325437.5,	
1652372778736,	Topic 1.1,	2949165,	2,	5898330.0,	Topic 1.2,	3014701,	1,	3014701.0,	Topic 2.1,	2949165,	0.5,	1474582.5,	Topic 2.2,	3014701,	1.5,	4522051.5,	
1652372778837,	Topic 1.1,	2752559,	2,	5505118.0,	Topic 1.2,	3014699,	1,	3014699.0,	Topic 2.1,	2752559,	0.5,	1376279.5,	Topic 2.2,	3014699,	1.5,	4522048.5,	
1652372778938,	Topic 1.1,	2752559,	2,	5505118.0,	Topic 1.2,	3014699,	1,	3014699.0,	Topic 2.1,	2752559,	0.5,	1376279.5,	Topic 2.2,	3014699,	1.5,	4522048.5,	
1652372779040,	Topic 1.1,	2752560,	2,	5505120.0,	Topic 1.2,	2949165,	1,	2949165.0,	Topic 2.1,	2752560,	0.5,	1376280.0,	Topic 2.2,	2949165,	1.5,	4423747.5,	
1652372779141,	Topic 1.1,	2949167,	2,	5898334.0,	Topic 1.2,	3014698,	1,	3014698.0,	Topic 2.1,	2949167,	0.5,	1474583.5,	Topic 2.2,	3014698,	1.5,	4522047.0,	
